risk,premium_factor,premium
0.01,0.75,90.0
0.02,0.75,90.0
0.03,0.75,90.0
0.04,0.75,90.0
0.05,0.75,90.0
0.060000000000000005,0.75,90.0
0.06999999999999999,0.75,90.0
0.08,0.75,90.0
0.09,0.75,90.0
0.09999999999999999,0.75,90.0
0.11,0.75,90.0
0.12,0.75,90.0
0.13,0.75,90.0
0.14,0.75,90.0
0.15000000000000002,0.75,90.0
0.16,0.75,90.0
0.17,0.75,90.0
0.18000000000000002,0.75,90.0
0.19,0.75,90.0
0.2,0.75,90.0
0.21000000000000002,0.75,90.0
0.22,0.75,90.0
0.23,0.75,90.0
0.24000000000000002,0.75,90.0
0.25,0.75,90.0
0.26,0.75,90.0
0.27,0.75,90.0
0.28,0.75,90.0
0.29000000000000004,0.75,90.0
0.3,0.75,90.0
0.31,0.75,90.0
0.32,0.75,90.0
0.33,0.75,90.0
0.34,0.75,90.0
0.35000000000000003,0.75,90.0
0.36000000000000004,0.75,90.0
0.37,0.75,90.0
0.38,0.75,90.0
0.39,0.75,90.0
0.4,0.75,90.0
0.41000000000000003,0.75,90.0
0.42000000000000004,0.75,90.0
0.43,0.75,90.0
0.44,0.75,90.0
0.45,0.75,90.0
0.46,0.7553306809326694,90.63968171192033
0.47000000000000003,0.8103795622323304,97.24554746787965
0.48000000000000004,0.8692932633583089,104.31519160299707
0.49,0.9323851155151002,111.88621386181202
0.5,1.0,120.0
0.51,1.0725181937804162,128.70218325364993
0.52,1.1503597717262144,138.04317260714572
0.53,1.2339896594199977,148.07875913039973
0.54,1.3239234486876892,158.8708138425227
0.55,1.4207341102271678,170.48809322726012
0.56,1.5,180.0
0.5700000000000001,1.5,180.0
0.5800000000000001,1.5,180.0
0.59,1.5,180.0
0.6,1.5,180.0
0.61,1.5,180.0
0.62,1.5,180.0
0.63,1.5,180.0
0.64,1.5,180.0
0.65,1.5,180.0
0.66,1.5,180.0
0.67,1.5,180.0
0.68,1.5,180.0
0.6900000000000001,1.5,180.0
0.7000000000000001,1.5,180.0
0.7100000000000001,1.5,180.0
0.72,1.5,180.0
0.73,1.5,180.0
0.74,1.5,180.0
0.75,1.5,180.0
0.76,1.5,180.0
0.77,1.5,180.0
0.78,1.5,180.0
0.79,1.5,180.0
0.8,1.5,180.0
0.81,1.5,180.0
0.8200000000000001,1.5,180.0
0.8300000000000001,1.5,180.0
0.8400000000000001,1.5,180.0
0.85,1.5,180.0
0.86,1.5,180.0
0.87,1.5,180.0
0.88,1.5,180.0
0.89,1.5,180.0
0.9,1.5,180.0
0.91,1.5,180.0
0.92,1.5,180.0
0.93,1.5,180.0
0.9400000000000001,1.5,180.0
0.9500000000000001,1.5,180.0
0.9600000000000001,1.5,180.0
0.97,1.5,180.0
0.98,1.5,180.0
0.99,1.5,180.0
