risk,premium_factor,premium
0.01,0.8,96.0
0.02,0.8,96.0
0.03,0.8,96.0
0.04,0.8,96.0
0.05,0.8,96.0
0.060000000000000005,0.8,96.0
0.06999999999999999,0.8,96.0
0.08,0.8,96.0
0.09,0.8,96.0
0.09999999999999999,0.8,96.0
0.11,0.8,96.0
0.12,0.8,96.0
0.13,0.8,96.0
0.14,0.8,96.0
0.15000000000000002,0.8,96.0
0.16,0.8,96.0
0.17,0.8,96.0
0.18000000000000002,0.8,96.0
0.19,0.8,96.0
0.2,0.8,96.0
0.21000000000000002,0.8,96.0
0.22,0.8,96.0
0.23,0.8,96.0
0.24000000000000002,0.8,96.0
0.25,0.8,96.0
0.26,0.8,96.0
0.27,0.8,96.0
0.28,0.8,96.0
0.29000000000000004,0.8,96.0
0.3,0.8,96.0
0.31,0.8,96.0
0.32,0.8057071952528128,96.68486343033753
0.33,0.8666707841764111,104.00049410116932
0.34,0.9312097349540069,111.74516819448084
0.35000000000000003,0.9995373735946539,119.94448483135847
0.36000000000000004,1.0718834858344395,128.62601830013273
0.37,1.1484958135612287,137.81949762734743
0.38,1.2296417164219582,147.55700597063498
0.39,1.3156100193811746,157.87320232574095
0.4,1.4,168.0
0.41000000000000003,1.4,168.0
0.42000000000000004,1.4,168.0
0.43,1.4,168.0
0.44,1.4,168.0
0.45,1.4,168.0
0.46,1.4,168.0
0.47000000000000003,1.4,168.0
0.48000000000000004,1.4,168.0
0.49,1.4,168.0
0.5,1.4,168.0
0.51,1.4,168.0
0.52,1.4,168.0
0.53,1.4,168.0
0.54,1.4,168.0
0.55,1.4,168.0
0.56,1.4,168.0
0.5700000000000001,1.4,168.0
0.5800000000000001,1.4,168.0
0.59,1.4,168.0
0.6,1.4,168.0
0.61,1.4,168.0
0.62,1.4,168.0
0.63,1.4,168.0
0.64,1.4,168.0
0.65,1.4,168.0
0.66,1.4,168.0
0.67,1.4,168.0
0.68,1.4,168.0
0.6900000000000001,1.4,168.0
0.7000000000000001,1.4,168.0
0.7100000000000001,1.4,168.0
0.72,1.4,168.0
0.73,1.4,168.0
0.74,1.4,168.0
0.75,1.4,168.0
0.76,1.4,168.0
0.77,1.4,168.0
0.78,1.4,168.0
0.79,1.4,168.0
0.8,1.4,168.0
0.81,1.4,168.0
0.8200000000000001,1.4,168.0
0.8300000000000001,1.4,168.0
0.8400000000000001,1.4,168.0
0.85,1.4,168.0
0.86,1.4,168.0
0.87,1.4,168.0
0.88,1.4,168.0
0.89,1.4,168.0
0.9,1.4,168.0
0.91,1.4,168.0
0.92,1.4,168.0
0.93,1.4,168.0
0.9400000000000001,1.4,168.0
0.9500000000000001,1.4,168.0
0.9600000000000001,1.4,168.0
0.97,1.4,168.0
0.98,1.4,168.0
0.99,1.4,168.0
