risk,premium_factor,premium
0.01,0.8,96.0
0.02,0.8,96.0
0.03,0.8,96.0
0.04,0.8,96.0
0.05,0.8,96.0
0.060000000000000005,0.8,96.0
0.06999999999999999,0.8,96.0
0.08,0.8,96.0
0.09,0.8,96.0
0.09999999999999999,0.8,96.0
0.11,0.8,96.0
0.12,0.8,96.0
0.13,0.8,96.0
0.14,0.8,96.0
0.15000000000000002,0.8,96.0
0.16,0.8,96.0
0.17,0.8,96.0
0.18000000000000002,0.8,96.0
0.19,0.8,96.0
0.2,0.8,96.0
0.21000000000000002,0.8,96.0
0.22,0.8,96.0
0.23,0.8,96.0
0.24000000000000002,0.8,96.0
0.25,0.8,96.0
0.26,0.8,96.0
0.27,0.8,96.0
0.28,0.8,96.0
0.29000000000000004,0.8,96.0
0.3,0.8,96.0
0.31,0.8,96.0
0.32,0.8,96.0
0.33,0.8,96.0
0.34,0.8,96.0
0.35000000000000003,0.8,96.0
0.36000000000000004,0.8,96.0
0.37,0.8,96.0
0.38,0.8,96.0
0.39,0.8,96.0
0.4,0.8,96.0
0.41000000000000003,0.8,96.0
0.42000000000000004,0.8,96.0
0.43,0.8,96.0
0.44,0.8,96.0
0.45,0.8,96.0
0.46,0.8,96.0
0.47000000000000003,0.8,96.0
0.48000000000000004,0.8,96.0
0.49,0.8,96.0
0.5,0.8,96.0
0.51,0.8,96.0
0.52,0.8,96.0
0.53,0.8,96.0
0.54,0.8,96.0
0.55,0.816935474807053,98.03225697684636
0.56,0.8576102542523183,102.9132305102782
0.5700000000000001,0.900523860806366,108.06286329676392
0.5800000000000001,0.945849390481334,113.50192685776008
0.59,0.9937778906363263,119.25334687635915
0.6,1.0445207102539629,125.34248523047555
0.61,1.0983122261681795,131.79746714018154
0.62,1.1554130168298495,138.64956201958194
0.63,1.2161135711338875,145.9336285360665
0.64,1.280738639858205,153.6886367829846
0.65,1.3496523625777288,161.95828350932746
0.66,1.4,168.0
0.67,1.4,168.0
0.68,1.4,168.0
0.6900000000000001,1.4,168.0
0.7000000000000001,1.4,168.0
0.7100000000000001,1.4,168.0
0.72,1.4,168.0
0.73,1.4,168.0
0.74,1.4,168.0
0.75,1.4,168.0
0.76,1.4,168.0
0.77,1.4,168.0
0.78,1.4,168.0
0.79,1.4,168.0
0.8,1.4,168.0
0.81,1.4,168.0
0.8200000000000001,1.4,168.0
0.8300000000000001,1.4,168.0
0.8400000000000001,1.4,168.0
0.85,1.4,168.0
0.86,1.4,168.0
0.87,1.4,168.0
0.88,1.4,168.0
0.89,1.4,168.0
0.9,1.4,168.0
0.91,1.4,168.0
0.92,1.4,168.0
0.93,1.4,168.0
0.9400000000000001,1.4,168.0
0.9500000000000001,1.4,168.0
0.9600000000000001,1.4,168.0
0.97,1.4,168.0
0.98,1.4,168.0
0.99,1.4,168.0
